"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Average hourly earnings (including overtime) for salaried employees, by industry, annual",14100210,281-0036,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410021001",4;15;16;18,"CURRENT - a cube available to the public and that is current",Annual,2001-01-01,2017-01-01,2

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"North American Industry Classification System (NAICS)",18,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
2,"Bakeries and tortilla manufacturing",3118,44,36,,,
2,"Other food manufacturing",3119,45,36,,,
2,"Beverage manufacturing",3121,47,402,,,
2,"Tobacco manufacturing",3122,48,402,,,
2,"Fibre, yarn and thread mills",3131,50,403,,,
2,"Fabric mills",3132,51,403,,,
2,"Textile and fabric finishing and fabric coating",3133,52,403,,,
2,"Textile furnishings mills",3141,54,404,,,
2,"Other textile product mills",3149,55,404,,,
2,"Clothing manufacturing",315,56,35,,,
2,"Clothing knitting mills",3151,57,56,,,
2,"Cut and sew clothing manufacturing",3152,58,56,,,
2,"Leather and hide tanning and finishing",3161,61,406,,,
2,"Footwear manufacturing",3162,62,406,,,
2,"Other leather and allied product manufacturing",3169,63,406,,,
2,"Paper manufacturing",322,64,35,,,
2,"Pulp, paper and paperboard mills",3221,65,64,,,
2,"Converted paper product manufacturing",3222,66,64,,,
2,"Printing and related support activities","323,3231",67,35,,,
2,"Chemical manufacturing",325,70,35,,,
2,"Basic chemical manufacturing",3251,71,70,,,
2,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing",3252,72,70,,,
2,"Pesticide, fertilizer and other agricultural chemical manufacturing",3253,73,70,,,
2,"Pharmaceutical and medicine manufacturing",3254,74,70,,,
2,"Paint, coating and adhesive manufacturing",3255,75,70,,,
2,"Soap, cleaning compound and toilet preparation manufacturing",3256,76,70,,,
2,"Other chemical product manufacturing",3259,77,70,,,
2,"Plastics and rubber products manufacturing",326,78,35,,,
2,"Plastic product manufacturing",3261,79,78,,,
2,"Rubber product manufacturing",3262,80,78,,,
2,"Medical equipment and supplies manufacturing",3391,82,408,,,
2,"Other miscellaneous manufacturing",3399,83,408,,,
2,"Durable goods",321N,84,34,,10,
2,"Wood product manufacturing",321,85,84,,,
2,"Sawmills and wood preservation",3211,86,85,,,
2,"Veneer, plywood and engineered wood product manufacturing",3212,87,85,,,
2,"Other wood product manufacturing",3219,88,85,,,
2,"Clay product and refractory manufacturing",3271,90,409,,,
2,"Glass and glass product manufacturing",3272,91,409,,,
2,"Cement and concrete product manufacturing",3273,92,409,,,
2,"Other non-metallic mineral product manufacturing",3279,94,409,,,
2,"Primary metal manufacturing",331,95,84,,,
2,"Iron and steel mills and ferro-alloy manufacturing",3311,96,95,,,
2,"Steel product manufacturing from purchased steel",3312,97,95,,,
2,"Alumina and aluminum production and processing",3313,98,95,,,
2,"Non-ferrous metal (except aluminum) production and processing",3314,99,95,,,
2,Foundries,3315,100,95,,,
2,"Fabricated metal product manufacturing",332,101,84,,,
2,"Forging and stamping",3321,102,101,,,
2,"Architectural and structural metals manufacturing",3323,104,101,,,
2,"Boiler, tank and shipping container manufacturing",3324,105,101,,,
2,"Machine shops, turned product, and screw, nut and bolt manufacturing",3327,108,101,,,
2,"Coating, engraving, cold and heat treating and allied activities",3328,109,101,,,
2,"Other fabricated metal product manufacturing",3329,110,101,,,
2,"Machinery manufacturing",333,111,84,,,
2,"Agricultural, construction and mining machinery manufacturing",3331,112,111,,,
2,"Industrial machinery manufacturing",3332,113,111,,,
2,"Commercial and service industry machinery manufacturing",3333,114,111,,,
2,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing",3334,115,111,,,
2,"Metalworking machinery manufacturing",3335,116,111,,,
2,"Engine, turbine and power transmission equipment manufacturing",3336,117,111,,,
2,"Other general-purpose machinery manufacturing",3339,118,111,,,
2,"Computer and electronic product manufacturing",334,119,84,,,
2,"Computer and peripheral equipment manufacturing",3341,120,119,,,
2,"Communications equipment manufacturing",3342,121,119,,,
2,"Semiconductor and other electronic component manufacturing",3344,123,119,,,
2,"Navigational, measuring, medical and control instruments manufacturing",3345,124,119,,,
2,"Electric lighting equipment manufacturing",3351,127,416,,,
2,"Household appliance manufacturing",3352,128,416,,,
2,"Electrical equipment manufacturing",3353,129,416,,,
2,"Other electrical equipment and component manufacturing",3359,130,416,,,
2,"Transportation equipment manufacturing",336,131,84,,,
2,"Motor vehicle manufacturing",3361,132,131,,,
2,"Motor vehicle body and trailer manufacturing",3362,133,131,,,
2,"Motor vehicle parts manufacturing",3363,134,131,,,
2,"Aerospace product and parts manufacturing",3364,135,131,,,
2,"Ship and boat building",3366,137,131,,,
2,"Other transportation equipment manufacturing",3369,138,131,,,
2,"Furniture and related product manufacturing",337,139,84,,,
2,"Household and institutional furniture and kitchen cabinet manufacturing",3371,140,139,,,
2,"Office furniture (including fixtures) manufacturing",3372,141,139,,,
2,"Other furniture-related product manufacturing",3379,142,139,,,
2,"Service producing industries",41-91N,143,2,,11,
2,Trade,41-45N,144,143,,12,
2,"Wholesale trade",41,145,144,,,
2,"Petroleum and petroleum products merchant wholesalers","412,4121",147,145,,,
2,"Food, beverage and tobacco merchant wholesalers",413,148,145,,,
2,"Beverage merchant wholesalers",4132,150,148,,,
2,"Personal and household goods merchant wholesalers",414,152,145,,,
2,"Textile, clothing and footwear merchant wholesalers",4141,153,152,,,
2,"Home entertainment equipment and household appliance merchant wholesalers",4142,154,152,,,
2,"Motor vehicle and motor vehicle parts and accessories merchant wholesalers",415,158,145,,,
2,"Motor vehicle merchant wholesalers",4151,159,158,,,
2,"New motor vehicle parts and accessories merchant wholesalers",4152,160,158,,,
2,"Building material and supplies merchant wholesalers",416,162,145,,,
2,"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers",4161,163,162,,,
2,"Metal service centres",4162,164,162,,,
2,"Lumber, millwork, hardware and other building supplies merchant wholesalers",4163,165,162,,,
2,"Machinery, equipment and supplies merchant wholesalers",417,166,145,,,
2,"Farm, lawn and garden machinery and equipment merchant wholesalers",4171,167,166,,,
2,"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers",4172,168,166,,,
2,"Computer and communications equipment and supplies merchant wholesalers",4173,169,166,,,
2,"Other machinery, equipment and supplies merchant wholesalers",4179,170,166,,,
2,"Miscellaneous merchant wholesalers",418,171,145,,,
2,"Recyclable material merchant wholesalers",4181,172,171,,,
2,"Paper, paper product and disposable plastic product merchant wholesalers",4182,173,171,,,
2,"Agricultural supplies merchant wholesalers",4183,174,171,,,
2,"Chemical (except agricultural) and allied product merchant wholesalers",4184,175,171,,,
2,"Other miscellaneous merchant wholesalers",4189,176,171,,,
2,"Business-to-business electronic markets, and agents and brokers","419,4191",177,145,,,
2,"Retail trade",44-45,178,144,,,
2,"Motor vehicle and parts dealers",441,179,178,,,
2,"Automobile dealers",4411,180,179,,,
2,"Other motor vehicle dealers",4412,181,179,,,
2,"Automotive parts, accessories and tire stores",4413,182,179,,,
2,"Lawn and garden equipment and supplies stores",4442,189,423,,,
2,"Food and beverage stores",445,190,178,,,
2,"Grocery stores",4451,191,190,,,
2,"Specialty food stores",4452,192,190,,,
2,"Health and personal care stores","446,4461",194,178,,,
2,"Gasoline stations","447,4471",195,178,,,
2,"Clothing and clothing accessories stores",448,196,178,,,
2,"Shoe stores",4482,198,196,,,
2,"Jewellery, luggage and leather goods stores",4483,199,196,,,
2,"Sporting goods, hobby, book and music stores",451,200,178,,,
2,"Sporting goods, hobby and musical instrument stores",4511,201,200,,,
2,"General merchandise stores",452,203,178,,,
2,"Department stores",4521,204,203,,,
2,"Other general merchandise stores",4529,205,203,,,
2,"Miscellaneous store retailers",453,206,178,,,
2,Florists,4531,207,206,,,
2,"Office supplies, stationery and gift stores",4532,208,206,,,
2,"Used merchandise stores",4533,209,206,,,
2,"Other miscellaneous store retailers",4539,210,206,,,
2,"Electronic shopping and mail-order houses",4541,212,425,,,
2,"Vending machine operators",4542,213,425,,,
2,"Direct selling establishments",4543,214,425,,,
2,"Transportation and warehousing",48-49,215,143,,,
2,"Air transportation",481,216,215,,,
2,"Scheduled air transportation",4811,217,216,,,
2,"Non-scheduled air transportation",4812,218,216,,,
2,"Rail transportation","482,4821",219,215,,,
2,"Deep sea, coastal and Great Lakes water transportation",4831,221,426,,,
2,"Truck transportation",484,223,215,,,
2,"General freight trucking",4841,224,223,,,
2,"Specialized freight trucking",4842,225,223,,,
2,"Transit and ground passenger transportation",485,226,215,,,
2,"Urban transit systems",4851,227,226,,,
2,"Taxi and limousine service",4853,229,226,,,
2,"School and employee bus transportation",4854,230,226,,,
2,"Charter bus industry",4855,231,226,,,
2,"Scenic and sightseeing transportation, land",4871,238,430,,,
2,"Scenic and sightseeing transportation, water",4872,239,430,,,
2,"Support activities for transportation",488,241,215,,,
2,"Support activities for air transportation",4881,242,241,,,
2,"Support activities for water transportation",4883,244,241,,,
2,"Support activities for road transportation",4884,245,241,,,
2,"Freight transportation arrangement",4885,246,241,,,
2,"Postal service","491,4911",248,215,,,
2,"Couriers and messengers",492,249,215,,,
2,Couriers,4921,250,249,,,
2,"Local messengers and local delivery",4922,251,249,,,
2,"Warehousing and storage","493,4931",252,215,,,
2,"Information and cultural industries",51,253,143,,,
2,"Publishing industries",511,254,253,,,
2,"Newspaper, periodical, book and directory publishers",5111,255,254,,,
2,"Motion picture and sound recording industries",512,257,253,,,
2,"Sound recording industries",5122,259,257,,,
2,"Finance and insurance",52,267,143,,,
2,"Credit intermediation and related activities",522,270,267,,,
2,"Depository credit intermediation",5221,271,270,,,
2,"Non-depository credit intermediation",5222,272,270,,,
2,"Securities, commodity contracts, and other financial investment and related activities",523,274,267,,,
2,"Insurance carriers and related activities",524,278,267,,,
2,"Insurance carriers",5241,279,278,,,
2,"Agencies, brokerages and other insurance related activities",5242,280,278,,,
2,"Real estate and rental and leasing",53,284,143,,,
2,"Real estate",531,285,284,,,
2,"Lessors of real estate",5311,286,285,,,
2,"Offices of real estate agents and brokers",5312,287,285,,,
2,"Activities related to real estate",5313,288,285,,,
2,"Rental and leasing services",532,289,284,,,
2,"Automotive equipment rental and leasing",5321,290,289,,,
2,"Consumer goods rental",5322,291,289,,,
2,"Commercial and industrial machinery and equipment rental and leasing",5324,293,289,,,
2,"Lessors of non-financial intangible assets (except copyrighted works)","533,5331",294,284,,,
2,"Professional, scientific and technical services","54,541",295,143,,,
2,"Legal services",5411,297,295,,,
2,"Accounting, tax preparation, bookkeeping and payroll services",5412,298,295,,,
2,"Architectural, engineering and related services",5413,299,295,,,
2,"Computer systems design and related services",5415,301,295,,,
2,"Management, scientific and technical consulting services",5416,302,295,,,
2,"Other professional, scientific and technical services",5419,305,295,,,
2,"Management of companies and enterprises","55,551,5511",306,143,,,
2,"Administrative and support, waste management and remediation services",56,307,143,,,
2,"Administrative and support services",561,308,307,,,
2,"Office administrative services",5611,309,308,,,
2,"Employment services",5613,311,308,,,
2,"Business support services",5614,312,308,,,
2,"Travel arrangement and reservation services",5615,313,308,,,
2,"Investigation and security services",5616,314,308,,,
2,"Services to buildings and dwellings",5617,315,308,,,
2,"Waste management and remediation services",562,317,307,,,
2,"Educational services","61,611",321,143,,,
2,"Education special",611N,323,321,,13,
2,"Elementary and secondary schools",6111,324,323,,,
2,"Community colleges and C.E.G.E.P.s",6112,325,323,,,
2,Universities,6113,326,323,,,
2,"Health care and social assistance",62,331,143,,,
2,"Ambulatory health care services",621,332,331,,,
2,"Offices of physicians",6211,333,332,,,
2,"Offices of dentists",6212,334,332,,,
2,"Offices of other health practitioners",6213,335,332,,,
2,"Out-patient care centres",6214,336,332,,,
2,"Home health care services",6216,338,332,,,
2,Hospitals,622,340,331,,,
2,"General medical and surgical hospitals",6221,341,340,,,
2,"Specialty (except psychiatric and substance abuse) hospitals",6223,343,340,,,
2,"Nursing and residential care facilities",623,344,331,,,
2,"Nursing care facilities",6231,345,344,,,
2,"Residential developmental handicap, mental health and substance abuse facilities",6232,346,344,,,
2,"Community care facilities for the elderly",6233,347,344,,,
2,"Other residential care facilities",6239,348,344,,,
2,"Social assistance",624,349,331,,,
2,"Individual and family services",6241,350,349,,,
2,"Vocational rehabilitation services",6243,352,349,,,
2,"Child day-care services",6244,353,349,,,
2,"Arts, entertainment and recreation",71,354,143,,,
2,"Performing arts, spectator sports and related industries",711,355,354,,,
2,"Performing arts companies",7111,356,355,,,
2,"Independent artists, writers and performers",7115,360,355,,,
2,"Heritage institutions","712,7121",361,354,,,
2,"Amusement, gambling and recreation industries",713,363,354,,,
2,"Amusement parks and arcades",7131,364,363,,,
2,"Gambling industries",7132,365,363,,,
2,"Other amusement and recreation industries",7139,366,363,,,
2,"Accommodation and food services",72,367,143,,,
2,"Accommodation services",721,368,367,,,
2,"Traveller accommodation",7211,369,368,,,
2,"Recreational vehicle (RV) parks and recreational camps",7212,370,368,,,
2,"Food services and drinking places",722,372,367,,,
2,"Full-service restaurants",7221,373,372,t,17,
2,"Limited-service eating places",7222,374,372,t,17,
2,"Drinking places (alcoholic beverages)",7224,376,372,,,
2,"Other services (except public administration)",81,377,143,,,
2,"Repair and maintenance",811,378,377,,,
2,"Automotive repair and maintenance",8111,379,378,,,
2,"Electronic and precision equipment repair and maintenance",8112,380,378,,,
2,"Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance",8113,381,378,,,
2,"Personal and household goods repair and maintenance",8114,382,378,,,
2,"Personal and laundry services",812,383,377,,,
2,"Personal care services",8121,384,383,,,
2,"Funeral services",8122,385,383,,,
2,"Dry cleaning and laundry services",8123,386,383,,,
2,"Other personal services",8129,387,383,,,
2,"Religious, grant-making, civic, and professional and similar organizations",813,388,377,,,
2,"Civic and social organizations",8134,391,388,,,
2,"Business, professional, labour and other membership organizations",8139,392,388,,,
2,"Public administration",91,393,143,,,
2,"Federal government public administration",911,394,393,,,
2,"Provincial and territorial public administration",912,395,393,,,
2,"Local, municipal and regional public administration",913,396,393,,,
2,"Sugar and confectionery product manufacturing",3113,401,36,,,
2,"Beverage and tobacco product manufacturing",312,402,35,,,
2,"Textile mills",313,403,35,,,
2,"Textile product mills",314,404,35,,,
2,"Clothing accessories and other clothing manufacturing",3159,405,56,,,
2,"Leather and allied product manufacturing",316,406,35,,,
2,"Petroleum and coal product manufacturing","324,3241",407,35,,,
2,"Miscellaneous manufacturing",339,408,84,,,
2,"Non-metallic mineral product manufacturing",327,409,84,,,
2,"Lime and gypsum product manufacturing",3274,410,409,,,
2,"Cutlery and hand tool manufacturing",3322,411,101,,,
2,"Hardware manufacturing",3325,412,101,,,
2,"Spring and wire product manufacturing",3326,413,101,,,
2,"Audio and video equipment manufacturing",3343,414,119,,,
2,"Manufacturing and reproducing magnetic and optical media",3346,415,119,,,
2,"Electrical equipment, appliance and component manufacturing",335,416,84,,,
2,"Railroad rolling stock manufacturing",3365,417,131,,,
2,"Farm product merchant wholesalers","411,4111",418,145,,,
2,"Cigarette and tobacco product merchant wholesalers",4133,419,148,,,
2,"Used motor vehicle parts and accessories merchant wholesalers",4153,420,158,,,
2,"Furniture and home furnishings stores",442,421,178,,,
2,"Electronics and appliance stores","443,4431",422,178,,,
2,"Building material and garden equipment and supplies dealers",444,423,178,,,
2,"Beer, wine and liquor stores",4453,424,190,,,
2,"Non-store retailers",454,425,178,,,
2,"Water transportation",483,426,215,,,
2,"Interurban and rural bus transportation",4852,427,226,,,
2,"Other transit and ground passenger transportation",4859,428,226,,,
2,"Pipeline transportation",486,429,215,,,
2,"Scenic and sightseeing transportation",487,430,215,,,
2,"General rental centres",5323,431,289,,,
2,"Specialized design services",5414,432,295,,,
2,"Advertising, public relations, and related services",5418,433,295,,,
2,"Other support services",5619,434,308,,,
2,"Business schools and computer and management training",6114,435,323,,,
2,"Technical and trade schools",6115,436,323,,,
2,"Other schools and instruction",6116,437,323,,,
2,"Educational support services",6117,438,323,,,
2,"Medical and diagnostic laboratories",6215,439,332,,,
2,"Other ambulatory health care services",6219,440,332,,,
2,"Psychiatric and substance abuse hospitals",6222,441,340,,,
2,"Community food and housing, and emergency and other relief services",6242,442,349,,,
2,"Agents and managers for artists, athletes, entertainers and other public figures",7114,443,355,,,
2,"Rooming and boarding houses",7213,444,368,,,
2,"Special food services",7223,445,372,,,
2,"Grant-making and giving services",8132,446,388,,,
2,"Support activities for rail transportation",4882,447,241,,,
2,"Other support activities for transportation",4889,448,241,,,
2,"Activities related to credit intermediation",5223,449,270,,,
2,"Scientific research and development services",5417,450,295,,,
2,"Construction of buildings",236,451,21,,,
2,"Residential building construction",2361,452,451,,,
2,"Non-residential building construction",2362,453,451,,,
2,"Heavy and civil engineering construction",237,454,21,,,
2,"Utility system construction",2371,455,454,,,
2,"Land subdivision",2372,456,454,,,
2,"Highway, street and bridge construction",2373,457,454,,,
2,"Other heavy and civil engineering construction",2379,458,454,,,
2,"Specialty trade contractors",238,459,21,,,
2,"Foundation, structure, and building exterior contractors",2381,460,459,,,
2,"Building equipment contractors",2382,461,459,,,
2,"Building finishing contractors",2383,462,459,,,
2,"Other specialty trade contractors",2389,463,459,,,
2,"Broadcasting (except Internet)",515,464,253,,,
2,"Radio and television broadcasting",5151,465,464,,,
2,"Pay and specialty television",5152,466,464,,,
2,Telecommunications,517,468,253,,,
2,"Wired telecommunications carriers",5171,469,468,t,19,
2,"Wireless telecommunications carriers (except satellite)",5172,470,468,t,19,
2,"Telecommunications resellers",5173,471,468,t,3,
2,"Satellite telecommunications",5174,472,468,,,
2,"Cable and other program distribution",5175,473,468,t,3,
2,"Data processing, hosting, and related services","518,5182",475,253,,,
2,"Internet service providers, web search portals",5181,476,475,t,3,
2,"Data processing, hosting, and related services",5182,477,475,t,3,
2,"Other information services","519,5191",478,253,,,
2,"Aboriginal public administration",914,529,393,,,
2,"Full-service restaurants and limited-service eating places",7225,531,372,,,
2,"Wired and wireless telecommunications carriers (except satellite)",5173,532,468,,20,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published.",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
2612,"Survey of Employment, Payrolls and Hours"

"Subject Code","Subject Name"
14,Labour

"Note ID",Note
1,"Although the creation of Nunavut officially took place in April 1999, the Survey of Employment, Payrolls and Hours (SEPH) was only able to begin publishing separate estimates for Northwest Territories and Nunavut with the release of the January 2001 data. Efforts were undertaken to estimate the employment for Nunavut back to April 1999. These are available upon request by contacting Client Services (toll-free: 1-866-873-8788; statcan.labour-travail.statcan@canada.ca), Labour Statistics Division."
2,"Since January 2001, the Survey of Employment, Payrolls and Hours (SEPH) program no longer combines Northwest Territories and Nunavut. They are produced as two separate territories."
3,"These terminated series are based on the North American Industry Classification System (NAICS) 2002."
4,"Data quality indicators are based on the coefficient of variation (CV). Quality indicators indicate the following: A - Excellent (CV from 0% to 4.99%); B - Very good (CV from 5% to 9.99%); C - Good (CV from 10% to 14.99%); D - Acceptable (CV from 15% to 24.99%); E - Use with caution (CV from 25% to 34.99%); F - Too unreliable to publish (CV greater than or equal to 35% or sample size is too small to produce reliable estimates)."
5,"Industrial aggregate covers all industrial sectors except those primarily involved in agriculture, fishing and trapping, private household services, religious organisations and the military personnel of the defence services."
6,"Unclassified businesses (00) are businesses for which the industrial classification (North American Industry Classification System [NAICS] 2017 Version 2.0) has yet to be determined."
7,"Goods producing industries (11-33N) includes the following sectors: forestry, logging and support (11N), mining, quarrying, and oil and gas extraction (21), utilities (22), construction (23) and manufacturing (31-33)."
8,"Forestry, logging and support (11N) includes the following industries: forestry and logging (113) and support activities for forestry (1153)."
9,"Non-durable goods (311N) of the manufacturing sector includes the following industries: food manufacturing (311), beverage and tobacco products manufacturing (312), textiles mills (313), textile products mills (314), clothing manufacturing (315), leather and allied products manufacturing (316), paper manufacturing (322), printing and related support activities (323), petroleum and coal products manufacturing (324), chemical manufacturing (325) and plastics and rubber products manufacturing (326)."
10,"Durable goods (321N) of the manufacturing sector includes the following industries: wood products manufacturing (321), non-metallic mineral products manufacturing (327), primary metal manufacturing (331), fabricated metal products manufacturing (332), machinery manufacturing (333), computer and electronic products manufacturing (334), electrical equipment, appliances and components manufacturing (335), transportation equipment manufacturing (336), furniture and related product manufacturing (337) and miscellaneous manufacturing (339)."
11,"Service producing industries (41-91N) includes the following industries: trade (41-45N), transportation and warehousing (48-49), information and cultural industries (51), finance and insurance (52), real estate and rental and leasing (53), professional, scientific and technical services (54), management of companies and enterprises (55), administrative and support, waste management and remediation services (56), educational services (61), health care and social assistance (62), arts, entertainment and recreation (71), accommodation and food services (72), other services (except public administration) (81) and public administration (91)."
12,"Trade (41-45N) industry includes the following sectors: wholesale trade (41) and retail trade (44-45)."
13,"Education special (611N) industry includes the following industries: elementary and secondary schools (6111), community colleges and C.E.G.E.P.s (6112), universities (6113), business schools and computer and management training (6114) and technical and trade schools (6115)."
15,"The introduction of administrative data in 2001 and the associated change in methodology resulted in level shifts for some series. This affects the comparability of pre- and post-2001 estimates."
16,"Earnings data are based on gross payroll before source deductions."
17,"These terminated series are based on the North American Industry Classification System (NAICS) 2007."
18,"Industry estimates in this table are based on the 2017 North American Industry Classification System (NAICS) Version 2.0."
19,"This terminated series is based on the 2012 North American Industry Classification System (NAICS)."
20,"This new series is based on the North American Industry Classification System (NAICS) 2017 Version 2.0. It includes the content of the NAICS 2012 codes 5171 Wired telecommunications carriers and 5172 Wireless telecommunications carriers (except satellite). The content of this new series is different from the terminated series 5173 Telecommunications resellers."

"Correction ID","Correction Date","Correction Note"

